Configuration,Mean time (ms),Speedup vs CPU
CPU reference,924.65,—
"Version A, no streams",950.6,0.97x
"Version B, 1 stream",379.22,2.44x
"Version B, 2 streams",312.48,2.96x
"Version B, 4 streams",313.87,2.95x
"Version B, 8 streams",310.51,2.98x
